id,entrance_exam,tutoring,tutoring_text,exit_exam
1,92.40832519721745,FALSE,No tutor,78.07591699475964
2,72.77237971968758,FALSE,No tutor,58.217569209589115
3,53.6508983672208,TRUE,Tutor,61.96543181346922
4,98.32688290036721,FALSE,No tutor,67.48956053253954
5,69.71219364629356,TRUE,Tutor,54.12888291195089
6,68.06771013965319,TRUE,Tutor,60.13143269750885
7,86.03047600648331,FALSE,No tutor,73.05074399953847
8,85.68573262522804,TRUE,Tutor,76.73619699944945
9,85.90494415948736,FALSE,No tutor,57.78113604097569
10,89.52847789250352,FALSE,No tutor,79.91582868504926
11,84.80980643892954,FALSE,No tutor,69.97045146602343
12,90.58161909414983,FALSE,No tutor,74.85449925157111
13,88.34225626204841,TRUE,Tutor,81.52766128397961
14,76.6797695525353,TRUE,Tutor,67.58564081518475
15,57.065385611957886,TRUE,Tutor,62.43177554585756
16,79.57018522869579,FALSE,No tutor,65.3514872815062
17,85.24073186019778,FALSE,No tutor,69.16776501773627
18,89.73990741609855,TRUE,Tutor,87.32926522898521
19,88.98772812145911,FALSE,No tutor,67.48990769380123
20,75.45039095091457,TRUE,Tutor,63.9613898692617
21,84.98274715966102,TRUE,Tutor,68.35787854419392
22,84.33338812672437,FALSE,No tutor,63.76827673856151
23,69.06855157261134,FALSE,No tutor,67.46631371622694
24,87.42874382060926,FALSE,No tutor,74.56920686638264
25,94.20474141014117,FALSE,No tutor,77.30219155029525
26,66.5452076737732,FALSE,No tutor,67.72791397242847
27,90.81676989003721,FALSE,No tutor,70.0944122376815
28,78.03018038937208,FALSE,No tutor,53.39598569510531
29,89.98368635350703,FALSE,No tutor,83.23919563180216
30,53.15066929519083,TRUE,Tutor,55.20027155443442
31,84.78921601890549,FALSE,No tutor,68.94444402507114
32,87.60624452292201,FALSE,No tutor,74.32199697564909
33,85.11732241160514,FALSE,No tutor,61.07957526190978
34,95.34362206305677,FALSE,No tutor,71.9125628196071
35,92.0828629551259,FALSE,No tutor,77.51975561627702
36,97.82939040900712,FALSE,No tutor,79.01112054931306
